cluster_id,locale,page_type,url_a,url_b,similarity,exact_duplicate,decision
similarity-/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,en,guide,/en/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.9097,false,HUMAN_REVIEW_REQUIRED
similarity-/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,en,guide,/en/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/en/guides/garage-door-opener-electricity-cost-per-cycle-used/,0.8780,false,HUMAN_REVIEW_REQUIRED
similarity-/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,en,guide,/en/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/en/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.9161,false,HUMAN_REVIEW_REQUIRED
similarity-/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,en,guide,/en/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.9329,false,HUMAN_REVIEW_REQUIRED
similarity-/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,en,guide,/en/guides/garage-door-opener-electricity-cost-per-cycle-used/,/en/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.8721,false,HUMAN_REVIEW_REQUIRED
similarity-/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,en,guide,/en/guides/garage-door-opener-electricity-cost-per-cycle-used/,/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.8814,false,HUMAN_REVIEW_REQUIRED
similarity-/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,en,guide,/en/guides/outdoor-string-lights-electricity-cost-per-evening-used/,/en/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.8997,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/es/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,0.9031,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/es/guides/garage-door-opener-electricity-cost-per-cycle-used/,0.8662,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/es/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.9072,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/es/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,0.8997,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/es/guides/garage-door-opener-electricity-cost-per-cycle-used/,0.8776,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/es/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.9063,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.9091,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,/es/guides/garage-door-opener-electricity-cost-per-cycle-used/,0.8754,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,/es/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.8780,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.8805,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/garage-door-opener-electricity-cost-per-cycle-used/,/es/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.8629,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/garage-door-opener-electricity-cost-per-cycle-used/,/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.8844,false,HUMAN_REVIEW_REQUIRED
similarity-/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,es,guide,/es/guides/outdoor-string-lights-electricity-cost-per-evening-used/,/es/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.8935,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/hi/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,0.9193,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/hi/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,0.8712,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/hi/guides/garage-door-opener-electricity-cost-per-cycle-used/,0.8718,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/hi/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.8947,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/aquarium-heater-electricity-cost-per-tank-day-used/,/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.9193,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/hi/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,0.8947,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/hi/guides/garage-door-opener-electricity-cost-per-cycle-used/,0.8788,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/hi/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.9107,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/electric-fireplace-electricity-cost-per-heating-hour-used/,/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.9539,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,/hi/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.8793,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/electric-insect-zapper-electricity-cost-per-overnight-used/,/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.8865,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/garage-door-opener-electricity-cost-per-cycle-used/,/hi/guides/outdoor-string-lights-electricity-cost-per-evening-used/,0.8638,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/garage-door-opener-electricity-cost-per-cycle-used/,/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.8870,false,HUMAN_REVIEW_REQUIRED
similarity-/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,hi,guide,/hi/guides/outdoor-string-lights-electricity-cost-per-evening-used/,/hi/guides/terrarium-heat-lamp-electricity-cost-per-heating-hour-used/,0.9107,false,HUMAN_REVIEW_REQUIRED
